,Cycles,Cycles,Cycles,Instructions,IPC
,mean,min,max,mean,mean
Stride,,,,,
1,5273757.7,3942504.0,6699105.0,1348218.7,
2,5404409.9,3872872.0,6631244.0,1347466.7,
3,5335856.1,3913430.0,6629744.0,1349452.5,
4,3931444.0,3931444.0,3931444.0,976154.0,
