,Sparsity Level,Stride,Cycles,Instructions,Efficiency
16,75,2,5465914.0,1303032.0,0.23839233474950391
19,80,2,5070842.0,1216522.0,0.23990532538777584
22,85,2,4662310.0,1145416.0,0.24567564147386167
13,70,2,5704329.0,1403190.0,0.24598686366091438
25,90,2,4275686.0,1056725.0,0.24714747528232897
