,Sparsity Level,Stride,Cycles,Instructions,Branch Misses,Branches,IPC
0,50,1,6699105.0,1728041.0,13697.0,190787.0,
1,50,2,6631244.0,1723713.0,13530.0,190396.0,
2,50,3,6629744.0,1718116.0,13544.0,189606.0,
3,55,1,6437487.0,1637787.0,13508.0,181768.0,
4,55,2,6463370.0,1642460.0,13691.0,181998.0,
5,55,3,6411585.0,1646166.0,13692.0,182711.0,
6,60,1,6076997.0,1558670.0,13656.0,173992.0,
7,60,2,6064543.0,1545317.0,13711.0,172297.0,
8,60,3,6082709.0,1561322.0,13510.0,174287.0,
9,65,1,5765729.0,1473171.0,13636.0,165243.0,
10,65,2,5832989.0,1470027.0,13523.0,164801.0,
11,65,3,5842580.0,1477511.0,13500.0,165836.0,
12,70,1,5372303.0,1383421.0,13370.0,156220.0,
13,70,2,5704329.0,1403190.0,13628.0,158461.0,
14,70,3,5531970.0,1395904.0,13579.0,157769.0,
15,75,1,5089159.0,1302532.0,13581.0,148173.0,
16,75,2,5465914.0,1303032.0,13390.0,148171.0,
17,75,3,5180238.0,1299578.0,13421.0,147717.0,
18,80,1,4717823.0,1226087.0,13636.0,140868.0,
19,80,2,5070842.0,1216522.0,13354.0,139596.0,
20,80,3,4914921.0,1223907.0,13405.0,140341.0,
21,85,1,4449505.0,1135242.0,13346.0,131452.0,
22,85,2,4662310.0,1145416.0,13321.0,132526.0,
23,85,3,4611757.0,1139975.0,13345.0,132160.0,
24,90,1,4186965.0,1060942.0,13412.0,124219.0,
25,90,2,4275686.0,1056725.0,13428.0,123790.0,
26,90,3,4239627.0,1058847.0,13536.0,123960.0,
27,95,1,3942504.0,976294.0,13752.0,115911.0,
28,95,2,3872872.0,968265.0,13345.0,114723.0,
29,95,3,3913430.0,973199.0,13316.0,115360.0,
30,95,4,3931444.0,976154.0,13364.0,115747.0,
