,Sparsity Level,Stride,Cycles,Instructions,Branch Misses,Branches,IPC
0,50,1,6927601.0,1413375.0,13609.0,160747.0,
1,50,2,6854047.0,1417539.0,13440.0,161498.0,
2,50,3,6886850.0,1411436.0,13563.0,160772.0,
3,55,1,6609979.0,1364475.0,13431.0,156099.0,
4,55,2,6551451.0,1348523.0,13493.0,153991.0,
5,55,3,6554258.0,1353246.0,13463.0,154439.0,
6,60,1,6266219.0,1308851.0,13478.0,150120.0,
7,60,2,6228155.0,1297359.0,13692.0,148586.0,
8,60,3,6164654.0,1296947.0,13476.0,148736.0,
9,65,1,5893176.0,1249780.0,13610.0,143871.0,
10,65,2,5923868.0,1249351.0,13534.0,143768.0,
11,65,3,5871620.0,1252774.0,13527.0,144395.0,
12,70,1,5512390.0,1204769.0,13453.0,139559.0,
13,70,2,5735364.0,1200026.0,13551.0,138992.0,
14,70,3,5608405.0,1200253.0,13680.0,138729.0,
15,75,1,5133401.0,1148162.0,13573.0,133575.0,
16,75,2,5537474.0,1149774.0,13416.0,133789.0,
17,75,3,5224963.0,1149236.0,13483.0,133848.0,
18,80,1,4786192.0,1089065.0,13358.0,127105.0,
19,80,2,5109886.0,1095089.0,13332.0,127931.0,
20,80,3,4890685.0,1092492.0,13519.0,127719.0,
21,85,1,4511052.0,1047844.0,13473.0,123470.0,
22,85,2,4710753.0,1051625.0,13466.0,123809.0,
23,85,3,4601594.0,1037708.0,13326.0,122142.0,
24,90,1,4188206.0,985951.0,13616.0,116728.0,
25,90,2,4264672.0,992027.0,13508.0,117560.0,
26,90,3,4290746.0,993049.0,13454.0,117668.0,
27,95,1,3902775.0,936611.0,13495.0,111676.0,
28,95,2,3977881.0,948373.0,13697.0,113024.0,
29,95,3,3914350.0,943636.0,13503.0,112575.0,
30,95,4,3843625.0,933417.0,13433.0,111231.0,
