,Cycles,Cycles,Cycles,Instructions,IPC
,mean,min,max,mean,mean
Sparsity Level,,,,,
50,6889499.333333333,6854047.0,6927601.0,1414116.6666666667,
55,6571896.0,6551451.0,6609979.0,1355414.6666666667,
60,6219676.0,6164654.0,6266219.0,1301052.3333333333,
65,5896221.333333333,5871620.0,5923868.0,1250635.0,
70,5618719.666666667,5512390.0,5735364.0,1201682.6666666667,
75,5298612.666666667,5133401.0,5537474.0,1149057.3333333333,
80,4928921.0,4786192.0,5109886.0,1092215.3333333333,
85,4607799.666666667,4511052.0,4710753.0,1045725.6666666666,
90,4247874.666666667,4188206.0,4290746.0,990342.3333333334,
95,3909657.75,3843625.0,3977881.0,940509.25,
