,Sparsity Level,Stride,Cycles,Instructions,Efficiency
0,50,1,6927601.0,1413375.0,0.20402084357918418
2,50,3,6886850.0,1411436.0,0.2049465285290082
4,55,2,6551451.0,1348523.0,0.20583577592200566
3,55,1,6609979.0,1364475.0,0.20642652571210893
5,55,3,6554258.0,1353246.0,0.206468222642441
