,Cycles,Cycles,Cycles,Instructions,IPC
,mean,min,max,mean,mean
Stride,,,,,
1,5373099.1,3902775.0,6927601.0,1174888.3,
2,5489355.1,3977881.0,6854047.0,1174968.6,
3,5400812.5,3914350.0,6886850.0,1173077.7,
4,3843625.0,3843625.0,3843625.0,933417.0,
