,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
83,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_3,65,3
84,,,,,9401507.0,,,results_vector_mlir_sparsity_70_stride_1,70,1
85,14381.0,,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1
86,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_1,70,1
87,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_1,70,1
88,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_1,70,1
89,,,,,,1635305.0,,results_vector_mlir_sparsity_70_stride_1,70,1
90,,120932.0,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1
91,,,,,9464913.0,,,results_vector_mlir_sparsity_70_stride_2,70,2
92,13987.0,,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2
93,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_2,70,2
94,,,,,,1643700.0,,results_vector_mlir_sparsity_70_stride_2,70,2
95,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_2,70,2
96,,121877.0,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2
97,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_2,70,2
98,14197.0,,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3
99,,121730.0,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3
100,,,,,,1639860.0,,results_vector_mlir_sparsity_70_stride_3,70,3
101,,,,,9369669.0,,,results_vector_mlir_sparsity_70_stride_3,70,3
102,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_3,70,3
103,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_3,70,3
104,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_3,70,3
105,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_1,75,1
106,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_1,75,1
107,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_1,75,1
108,,,,,8455178.0,,,results_vector_mlir_sparsity_75_stride_1,75,1
109,,,,,,1512491.0,,results_vector_mlir_sparsity_75_stride_1,75,1
110,,118876.0,,,,,,results_vector_mlir_sparsity_75_stride_1,75,1
111,15059.0,,,,,,,results_vector_mlir_sparsity_75_stride_1,75,1
