,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
0,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_1,50,1,16
1,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_1,50,1,16
2,,,,,10558760.0,,,results_vector_mlir_sparsity_50_stride_1,50,1,16
3,,,,,,1694171.0,,results_vector_mlir_sparsity_50_stride_1,50,1,16
4,,140759.0,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,16
5,13827.0,,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,16
6,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,16
7,13534.0,,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,16
8,,141001.0,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,16
9,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,16
10,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_2,50,2,16
11,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_2,50,2,16
12,,,,,10346177.0,,,results_vector_mlir_sparsity_50_stride_2,50,2,16
13,,,,,,1695563.0,,results_vector_mlir_sparsity_50_stride_2,50,2,16
14,,,,,10619670.0,,,results_vector_mlir_sparsity_50_stride_3,50,3,16
15,,139597.0,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,16
16,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_3,50,3,16
17,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,16
18,13562.0,,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,16
19,,,,,,1682755.0,,results_vector_mlir_sparsity_50_stride_3,50,3,16
20,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_3,50,3,16
21,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,16
22,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_1,55,1,16
23,13801.0,,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,16
24,,136915.0,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,16
25,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_1,55,1,16
26,,,,,9983651.0,,,results_vector_mlir_sparsity_55_stride_1,55,1,16
27,,,,,,1608869.0,,results_vector_mlir_sparsity_55_stride_1,55,1,16
28,13828.0,,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,16
29,,136718.0,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,16
30,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,16
31,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_2,55,2,16
32,,,,,,,82.0,results_vector_mlir_sparsity_55_stride_2,55,2,16
33,,,,,9728364.0,,,results_vector_mlir_sparsity_55_stride_2,55,2,16
34,,,,,,1608761.0,,results_vector_mlir_sparsity_55_stride_2,55,2,16
35,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,16
36,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_3,55,3,16
37,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_3,55,3,16
38,,137702.0,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,16
39,13987.0,,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,16
40,,,,,9959023.0,,,results_vector_mlir_sparsity_55_stride_3,55,3,16
41,,,,,,1616382.0,,results_vector_mlir_sparsity_55_stride_3,55,3,16
42,13880.0,,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,16
43,,,,,,1528469.0,,results_vector_mlir_sparsity_60_stride_1,60,1,16
44,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,16
45,,133444.0,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,16
46,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_1,60,1,16
47,,,,,9232772.0,,,results_vector_mlir_sparsity_60_stride_1,60,1,16
48,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_1,60,1,16
49,13715.0,,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,16
50,,133534.0,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,16
51,,,,,,1531584.0,,results_vector_mlir_sparsity_60_stride_2,60,2,16
52,,,,,9043619.0,,,results_vector_mlir_sparsity_60_stride_2,60,2,16
53,,,,,,,82.0,results_vector_mlir_sparsity_60_stride_2,60,2,16
54,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_2,60,2,16
55,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,16
56,13614.0,,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,16
57,,134639.0,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,16
58,,,,,,1535647.0,,results_vector_mlir_sparsity_60_stride_3,60,3,16
59,,,,,9306772.0,,,results_vector_mlir_sparsity_60_stride_3,60,3,16
60,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_3,60,3,16
61,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_3,60,3,16
62,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,16
63,,130270.0,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,16
64,,,,,,1449178.0,,results_vector_mlir_sparsity_65_stride_1,65,1,16
65,,,,,8487102.0,,,results_vector_mlir_sparsity_65_stride_1,65,1,16
66,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_1,65,1,16
67,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_1,65,1,16
68,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,16
69,13574.0,,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,16
