,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
0,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_1,50,1
1,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_1,50,1
2,,,,,6855491.0,,,results_vector_mlir_sparsity_50_stride_1,50,1
3,,,,,,1399991.0,,results_vector_mlir_sparsity_50_stride_1,50,1
4,,159555.0,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1
5,13563.0,,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1
6,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_1,50,1
7,13423.0,,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2
8,,159254.0,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2
9,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_2,50,2
10,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_2,50,2
11,,,,,,,82.0,results_vector_mlir_sparsity_50_stride_2,50,2
12,,,,,6870144.0,,,results_vector_mlir_sparsity_50_stride_2,50,2
13,,,,,,1398750.0,,results_vector_mlir_sparsity_50_stride_2,50,2
14,,,,,6825748.0,,,results_vector_mlir_sparsity_50_stride_3,50,3
15,,159721.0,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3
16,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_3,50,3
17,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_3,50,3
18,13446.0,,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3
19,,,,,,1401286.0,,results_vector_mlir_sparsity_50_stride_3,50,3
20,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_3,50,3
21,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_1,55,1
22,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_1,55,1
23,13733.0,,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1
24,,155649.0,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1
25,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_1,55,1
26,,,,,6636313.0,,,results_vector_mlir_sparsity_55_stride_1,55,1
27,,,,,,1361002.0,,results_vector_mlir_sparsity_55_stride_1,55,1
28,13445.0,,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2
29,,154189.0,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2
30,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_2,55,2
31,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_2,55,2
32,,,,,,,82.0,results_vector_mlir_sparsity_55_stride_2,55,2
33,,,,,6554142.0,,,results_vector_mlir_sparsity_55_stride_2,55,2
34,,,,,,1348082.0,,results_vector_mlir_sparsity_55_stride_2,55,2
35,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_3,55,3
36,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_3,55,3
37,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_3,55,3
38,,155325.0,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3
39,13595.0,,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3
40,,,,,6617412.0,,,results_vector_mlir_sparsity_55_stride_3,55,3
41,,,,,,1359325.0,,results_vector_mlir_sparsity_55_stride_3,55,3
42,13337.0,,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1
43,,,,,,1299884.0,,results_vector_mlir_sparsity_60_stride_1,60,1
44,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_1,60,1
45,,149382.0,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1
