,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
78,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
79,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_3,65,3,4
80,,,,,5842580.0,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
81,,,,,,1477511.0,,results_vector_mlir_sparsity_65_stride_3,65,3,4
82,,165836.0,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
83,13500.0,,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
84,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,4
85,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_1,70,1,4
86,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_1,70,1,4
87,,,,,5372303.0,,,results_vector_mlir_sparsity_70_stride_1,70,1,4
88,,,,,,1383421.0,,results_vector_mlir_sparsity_70_stride_1,70,1,4
89,,156220.0,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,4
90,13370.0,,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,4
91,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,4
92,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_2,70,2,4
93,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_2,70,2,4
94,,,,,5704329.0,,,results_vector_mlir_sparsity_70_stride_2,70,2,4
95,,,,,,1403190.0,,results_vector_mlir_sparsity_70_stride_2,70,2,4
96,,158461.0,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,4
97,13628.0,,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,4
98,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,4
99,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_3,70,3,4
100,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_3,70,3,4
101,,,,,5531970.0,,,results_vector_mlir_sparsity_70_stride_3,70,3,4
102,,,,,,1395904.0,,results_vector_mlir_sparsity_70_stride_3,70,3,4
103,,157769.0,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,4
104,13579.0,,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,4
105,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,4
106,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_1,75,1,4
107,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_1,75,1,4
108,,,,,5089159.0,,,results_vector_mlir_sparsity_75_stride_1,75,1,4
109,,,,,,1302532.0,,results_vector_mlir_sparsity_75_stride_1,75,1,4
110,,148173.0,,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,4
111,13581.0,,,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,4
112,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,4
113,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_2,75,2,4
114,,,,,,,81.0,results_vector_mlir_sparsity_75_stride_2,75,2,4
115,,,,,5465914.0,,,results_vector_mlir_sparsity_75_stride_2,75,2,4
116,,,,,,1303032.0,,results_vector_mlir_sparsity_75_stride_2,75,2,4
117,,148171.0,,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,4
