,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
0,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
1,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_1,50,1,4
2,,,,,6699105.0,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
3,,,,,,1728041.0,,results_vector_mlir_sparsity_50_stride_1,50,1,4
4,,190787.0,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
5,13697.0,,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
6,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
7,13530.0,,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
8,,190396.0,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
9,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
10,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
11,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_2,50,2,4
12,,,,,6631244.0,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
13,,,,,,1723713.0,,results_vector_mlir_sparsity_50_stride_2,50,2,4
14,,,,,6629744.0,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
15,,189606.0,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
16,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
17,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
18,13544.0,,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
19,,,,,,1718116.0,,results_vector_mlir_sparsity_50_stride_3,50,3,4
20,,,,,,,82.0,results_vector_mlir_sparsity_50_stride_3,50,3,4
21,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
22,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
23,13508.0,,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
24,,181768.0,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
25,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_1,55,1,4
26,,,,,6437487.0,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
27,,,,,,1637787.0,,results_vector_mlir_sparsity_55_stride_1,55,1,4
28,13691.0,,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
29,,181998.0,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
30,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
31,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
32,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_2,55,2,4
33,,,,,6463370.0,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
34,,,,,,1642460.0,,results_vector_mlir_sparsity_55_stride_2,55,2,4
35,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
36,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
37,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_3,55,3,4
38,,182711.0,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
39,13692.0,,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
40,,,,,6411585.0,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
41,,,,,,1646166.0,,results_vector_mlir_sparsity_55_stride_3,55,3,4
42,13656.0,,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
43,,,,,,1558670.0,,results_vector_mlir_sparsity_60_stride_1,60,1,4
44,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
45,,173992.0,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
46,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_1,60,1,4
47,,,,,6076997.0,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
48,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
49,13711.0,,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
50,,172297.0,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
51,,,,,,1545317.0,,results_vector_mlir_sparsity_60_stride_2,60,2,4
52,,,,,6064543.0,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
53,,,,,,,82.0,results_vector_mlir_sparsity_60_stride_2,60,2,4
54,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
55,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
56,13510.0,,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
57,,174287.0,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
58,,,,,,1561322.0,,results_vector_mlir_sparsity_60_stride_3,60,3,4
59,,,,,6082709.0,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
60,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_3,60,3,4
61,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
62,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
63,,165243.0,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
64,,,,,,1473171.0,,results_vector_mlir_sparsity_65_stride_1,65,1,4
65,,,,,5765729.0,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
66,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_1,65,1,4
67,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
68,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
69,13636.0,,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
70,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_2,65,2,4
71,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_2,65,2,4
72,,,,,5832989.0,,,results_vector_mlir_sparsity_65_stride_2,65,2,4
