,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
78,,144395.0,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
79,,,,,,1252774.0,,results_vector_mlir_sparsity_65_stride_3,65,3,8
80,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
81,,,,,5871620.0,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
82,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
83,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_3,65,3,8
84,,,,,5512390.0,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
85,13453.0,,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
86,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
87,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
88,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_1,70,1,8
89,,,,,,1204769.0,,results_vector_mlir_sparsity_70_stride_1,70,1,8
90,,139559.0,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
91,,,,,5735364.0,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
92,13551.0,,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
93,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
94,,,,,,1200026.0,,results_vector_mlir_sparsity_70_stride_2,70,2,8
95,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_2,70,2,8
96,,138992.0,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
97,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
98,13680.0,,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
99,,138729.0,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
100,,,,,,1200253.0,,results_vector_mlir_sparsity_70_stride_3,70,3,8
101,,,,,5608405.0,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
102,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_3,70,3,8
103,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
104,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
105,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_1,75,1,8
