,Sparsity Level,Stride,Cycles,Instructions,Efficiency
30,95,4,4397270.0,1016353.0,0.2311327255319778
29,95,3,4439873.0,1012814.0,0.22811778625199414
27,95,1,4484119.0,1020639.0,0.2276119344736391
28,95,2,4545017.0,1017115.0,0.2237868417213841
26,90,3,5245985.0,1135806.0,0.21650957827748268
