,Sparsity Level,Stride,Cycles,Instructions,Efficiency
0,50,1,13132451.0,2136169.0,0.16266339010136036
2,50,3,13171278.0,2145249.0,0.16287326104573907
5,55,3,12259996.0,2015582.0,0.164403153149479
1,50,2,12946885.0,2137904.0,0.16512883214765559
3,55,1,12211278.0,2016720.0,0.1651522469638313
