,Sparsity Level,Stride,Cycles,Instructions,Efficiency
30,95,4,4103916.0,970004.0,0.23636058827714798
29,95,3,4117585.0,963711.0,0.23404762743209914
28,95,2,4209766.0,970150.0,0.23045223891304173
27,95,1,4255787.0,968585.0,0.22759245234782663
26,90,3,4761089.0,1048641.0,0.22025234142861014
