,Cycles,Cycles,Cycles,Instructions,IPC
,mean,min,max,mean,mean
Sparsity Level,,,,,
50,10508202.333333334,10346177.0,10619670.0,1690829.6666666667,
55,9890346.0,9728364.0,9983651.0,1611337.3333333333,
60,9194387.666666666,9043619.0,9306772.0,1531900.0,
65,8407400.333333334,8224048.0,8511051.0,1454335.6666666667,
70,7782455.333333333,7646663.0,7883959.0,1374378.6666666667,
75,6883288.0,6528759.0,7069507.0,1291702.0,
80,6289091.0,6100450.0,6418454.0,1210331.6666666667,
85,5599371.666666667,5511619.0,5717272.0,1130208.3333333333,
90,4831110.0,4761089.0,4877943.0,1051533.6666666667,
95,4171763.5,4103916.0,4255787.0,968112.5,
