,Sparsity Level,Stride,Cycles,Instructions,Branch Misses,Branches,IPC
0,50,1,10558760.0,1694171.0,13827.0,140759.0,
1,50,2,10346177.0,1695563.0,13534.0,141001.0,
2,50,3,10619670.0,1682755.0,13562.0,139597.0,
3,55,1,9983651.0,1608869.0,13801.0,136915.0,
4,55,2,9728364.0,1608761.0,13828.0,136718.0,
5,55,3,9959023.0,1616382.0,13987.0,137702.0,
6,60,1,9232772.0,1528469.0,13880.0,133444.0,
7,60,2,9043619.0,1531584.0,13715.0,133534.0,
8,60,3,9306772.0,1535647.0,13614.0,134639.0,
9,65,1,8487102.0,1449178.0,13574.0,130270.0,
10,65,2,8224048.0,1462299.0,13983.0,131767.0,
11,65,3,8511051.0,1451530.0,13520.0,130655.0,
12,70,1,7816744.0,1376856.0,13403.0,127968.0,
13,70,2,7646663.0,1373236.0,13559.0,127475.0,
14,70,3,7883959.0,1373044.0,13696.0,127361.0,
15,75,1,7051598.0,1290737.0,13830.0,123873.0,
16,75,2,6528759.0,1291981.0,13531.0,124037.0,
17,75,3,7069507.0,1292388.0,13624.0,124189.0,
18,80,1,6348369.0,1209339.0,14481.0,120139.0,
19,80,2,6100450.0,1201485.0,13413.0,119366.0,
20,80,3,6418454.0,1220171.0,13965.0,121589.0,
21,85,1,5569224.0,1129154.0,13609.0,116958.0,
22,85,2,5511619.0,1128345.0,13542.0,116971.0,
23,85,3,5717272.0,1133126.0,14327.0,117459.0,
24,90,1,4877943.0,1054883.0,13781.0,114489.0,
25,90,2,4854298.0,1051077.0,13751.0,114065.0,
26,90,3,4761089.0,1048641.0,13793.0,113491.0,
27,95,1,4255787.0,968585.0,13761.0,110174.0,
28,95,2,4209766.0,970150.0,13389.0,110498.0,
29,95,3,4117585.0,963711.0,13443.0,109601.0,
30,95,4,4103916.0,970004.0,13747.0,110440.0,
