file_name,test_type,operation_type,vector_size,ipc,cycles_per_instruction,branch_miss_rate,branch_accuracy,instructions_per_ms,cycles_per_ms
elementwise_50_1,scalar,elementwise,N/A,0.28718435827845834,3.4820837945163596,10.23537293098387,89.76462706901613,514850.2392344498,1792751.6746411484
elementwise_50_2,scalar,elementwise,N/A,0.28827937866973524,3.4688572058622387,10.287668962191649,89.71233103780834,516703.3653846154,1792370.1923076923
elementwise_50_3,scalar,elementwise,N/A,0.28725467222998263,3.4812314530410045,10.23382133883029,89.7661786611697,514986.60287081345,1792787.5598086126
elementwise_55_1,scalar,elementwise,N/A,0.28600568464114495,3.496434000095883,10.20497925940531,89.7950207405947,511440.8653846154,1788219.2307692308
elementwise_55_2,scalar,elementwise,N/A,0.2845211231366954,3.514677535978795,10.41603239359435,89.58396760640565,509314.42307692306,1790075.9615384615
elementwise_55_3,scalar,elementwise,N/A,0.2857293204256756,3.4998158344765375,10.207591484203348,89.79240851579665,511663.4615384615,1790727.8846153845
elementwise_60_1,scalar,elementwise,N/A,0.2854691389809621,3.5030056263514,10.23250530142381,89.76749469857619,512083.09178743965,1793829.9516908214
elementwise_60_2,scalar,elementwise,N/A,0.2849719660677673,3.5091171029861816,10.332252219329101,89.66774778067091,510030.43478260876,1789756.5217391306
elementwise_60_3,scalar,elementwise,N/A,0.28687892874798404,3.485791042110573,10.356453618313157,89.64354638168685,513502.92682926834,1789963.9024390245
elementwise_65_1,scalar,elementwise,N/A,0.28195576138140777,3.5466556707358006,10.525911708253359,89.47408829174664,503772.9468599034,1786709.1787439615
elementwise_65_2,scalar,elementwise,N/A,0.2813903325803287,3.553782359294555,10.389749228748588,89.61025077125142,503882.6923076923,1790689.423076923
elementwise_65_3,scalar,elementwise,N/A,0.28546543789329515,3.503051043166187,10.183308699163454,89.81669130083655,512020.00000000006,1793632.1951219514
elementwise_70_1,scalar,elementwise,N/A,0.2809294256432582,3.559612873269683,10.442776822279981,89.55722317772002,501830.0970873786,1786320.8737864078
elementwise_70_2,scalar,elementwise,N/A,0.2798126910549616,3.573819315449052,10.386905680170312,89.61309431982968,502022.81553398055,1794138.8349514562
elementwise_70_3,scalar,elementwise,N/A,0.28065271895498806,3.5631224373079498,10.656473428456467,89.34352657154353,503234.14634146343,1793084.8780487806
elementwise_75_1,scalar,elementwise,N/A,0.2782838047402547,3.5934538157309683,10.423215695990832,89.57678430400917,497836.8932038835,1788953.8834951455
elementwise_75_2,scalar,elementwise,N/A,0.28033314488095695,3.5671843242961816,10.367718181534526,89.63228181846547,501469.45812807884,1788833.9901477834
elementwise_75_3,scalar,elementwise,N/A,0.2788723279482012,3.585870306162983,10.648050702776024,89.35194929722398,499781.862745098,1792152.9411764706
elementwise_80_1,scalar,elementwise,N/A,0.2769445833758309,3.610830686090503,10.638264729934967,89.36173527006504,495376.5853658537,1788720.9756097563
