value,unit,event,percentage,time,enabled_time,rate,description,value_numeric,file_name,full_path,directory,test_type,vector_size,operation_type,test_id
127347.0,,branches,0.40%,2037583,100.0,63.27,M/sec,127347.0,elementwise_80_2,./results_scalar/mlir_files_elementwise/elementwise_80_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13426.0,,branch-misses,0.61%,2037583,100.0,10.54,of all branches,13426.0,elementwise_80_2,./results_scalar/mlir_files_elementwise/elementwise_80_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.04,msec,task-clock,1.58%,2197834,100.0,0.528,CPUs utilized,2.04,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3653581.0,,cycles,1.59%,2197834,100.0,1.791,GHz,3653581.0,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1015577.0,,instructions,0.75%,2197834,100.0,0.28,insn per cycle,1015577.0,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
128628.0,,branches,0.65%,2197834,100.0,63.062,M/sec,128628.0,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13490.0,,branch-misses,1.29%,2197834,100.0,10.49,of all branches,13490.0,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.03,msec,task-clock,1.14%,2086124,100.0,0.523,CPUs utilized,2.03,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3623929.0,,cycles,1.14%,2086124,100.0,1.79,GHz,3623929.0,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
996781.0,,instructions,0.53%,2086124,100.0,0.28,insn per cycle,996781.0,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
126525.0,,branches,0.40%,2086124,100.0,62.481,M/sec,126525.0,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13511.0,,branch-misses,0.72%,2086124,100.0,10.68,of all branches,13511.0,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.03,msec,task-clock,1.42%,1935333,100.0,0.524,CPUs utilized,2.03,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3629206.0,,cycles,1.42%,1935333,100.0,1.79,GHz,3629206.0,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1005823.0,,instructions,0.71%,1935333,100.0,0.28,insn per cycle,1005823.0,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
127705.0,,branches,0.55%,1935333,100.0,62.99,M/sec,127705.0,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13691.0,,branch-misses,1.00%,1935333,100.0,10.72,of all branches,13691.0,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.02,msec,task-clock,0.97%,2036708,100.0,0.523,CPUs utilized,2.02,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3623699.0,,cycles,0.97%,2036708,100.0,1.791,GHz,3623699.0,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
995699.0,,instructions,0.50%,2036708,100.0,0.27,insn per cycle,995699.0,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
126484.0,,branches,0.46%,2036708,100.0,62.52,M/sec,126484.0,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13673.0,,branch-misses,0.51%,2036708,100.0,10.81,of all branches,13673.0,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.05,msec,task-clock,1.11%,2022750,100.0,0.529,CPUs utilized,2.05,elementwise_65_3,./results_scalar/mlir_files_elementwise/elementwise_65_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3676946.0,,cycles,1.10%,2022750,100.0,1.791,GHz,3676946.0,elementwise_65_3,./results_scalar/mlir_files_elementwise/elementwise_65_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1049641.0,,instructions,0.67%,2022750,100.0,0.29,insn per cycle,1049641.0,elementwise_65_3,./results_scalar/mlir_files_elementwise/elementwise_65_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
131254.0,,branches,0.53%,2022750,100.0,63.92,M/sec,131254.0,elementwise_65_3,./results_scalar/mlir_files_elementwise/elementwise_65_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13366.0,,branch-misses,0.76%,2022750,100.0,10.18,of all branches,13366.0,elementwise_65_3,./results_scalar/mlir_files_elementwise/elementwise_65_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.08,msec,task-clock,0.77%,2102542,100.0,0.531,CPUs utilized,2.08,elementwise_65_2,./results_scalar/mlir_files_elementwise/elementwise_65_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3724634.0,,cycles,0.78%,2102542,100.0,1.791,GHz,3724634.0,elementwise_65_2,./results_scalar/mlir_files_elementwise/elementwise_65_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1048076.0,,instructions,0.53%,2102542,100.0,0.28,insn per cycle,1048076.0,elementwise_65_2,./results_scalar/mlir_files_elementwise/elementwise_65_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
130956.0,,branches,0.48%,2102542,100.0,62.976,M/sec,130956.0,elementwise_65_2,./results_scalar/mlir_files_elementwise/elementwise_65_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13606.0,,branch-misses,0.86%,2102542,100.0,10.39,of all branches,13606.0,elementwise_65_2,./results_scalar/mlir_files_elementwise/elementwise_65_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.07,msec,task-clock,1.03%,2056459,100.0,0.528,CPUs utilized,2.07,elementwise_65_1,./results_scalar/mlir_files_elementwise/elementwise_65_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3698488.0,,cycles,1.03%,2056459,100.0,1.79,GHz,3698488.0,elementwise_65_1,./results_scalar/mlir_files_elementwise/elementwise_65_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1042810.0,,instructions,0.46%,2056459,100.0,0.28,insn per cycle,1042810.0,elementwise_65_1,./results_scalar/mlir_files_elementwise/elementwise_65_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
130250.0,,branches,0.37%,2056459,100.0,63.045,M/sec,130250.0,elementwise_65_1,./results_scalar/mlir_files_elementwise/elementwise_65_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13710.0,,branch-misses,0.90%,2056459,100.0,10.53,of all branches,13710.0,elementwise_65_1,./results_scalar/mlir_files_elementwise/elementwise_65_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.06,msec,task-clock,1.09%,2101042,100.0,0.534,CPUs utilized,2.06,elementwise_70_1,./results_scalar/mlir_files_elementwise/elementwise_70_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3679821.0,,cycles,1.09%,2101042,100.0,1.79,GHz,3679821.0,elementwise_70_1,./results_scalar/mlir_files_elementwise/elementwise_70_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1033770.0,,instructions,0.52%,2101042,100.0,0.28,insn per cycle,1033770.0,elementwise_70_1,./results_scalar/mlir_files_elementwise/elementwise_70_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
129659.0,,branches,0.41%,2101042,100.0,63.069,M/sec,129659.0,elementwise_70_1,./results_scalar/mlir_files_elementwise/elementwise_70_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13540.0,,branch-misses,0.69%,2101042,100.0,10.44,of all branches,13540.0,elementwise_70_1,./results_scalar/mlir_files_elementwise/elementwise_70_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.05,msec,task-clock,1.41%,2032750,100.0,0.531,CPUs utilized,2.05,elementwise_70_3,./results_scalar/mlir_files_elementwise/elementwise_70_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3675824.0,,cycles,1.39%,2032750,100.0,1.79,GHz,3675824.0,elementwise_70_3,./results_scalar/mlir_files_elementwise/elementwise_70_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1031630.0,,instructions,0.59%,2032750,100.0,0.28,insn per cycle,1031630.0,elementwise_70_3,./results_scalar/mlir_files_elementwise/elementwise_70_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
129236.0,,branches,0.48%,2032750,100.0,62.929,M/sec,129236.0,elementwise_70_3,./results_scalar/mlir_files_elementwise/elementwise_70_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13772.0,,branch-misses,0.96%,2032750,100.0,10.66,of all branches,13772.0,elementwise_70_3,./results_scalar/mlir_files_elementwise/elementwise_70_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.06,msec,task-clock,1.46%,2179667,100.0,0.523,CPUs utilized,2.06,elementwise_70_2,./results_scalar/mlir_files_elementwise/elementwise_70_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3695926.0,,cycles,1.47%,2179667,100.0,1.791,GHz,3695926.0,elementwise_70_2,./results_scalar/mlir_files_elementwise/elementwise_70_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1034167.0,,instructions,0.57%,2179667,100.0,0.28,insn per cycle,1034167.0,elementwise_70_2,./results_scalar/mlir_files_elementwise/elementwise_70_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
129644.0,,branches,0.46%,2179667,100.0,62.815,M/sec,129644.0,elementwise_70_2,./results_scalar/mlir_files_elementwise/elementwise_70_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13466.0,,branch-misses,0.65%,2179667,100.0,10.39,of all branches,13466.0,elementwise_70_2,./results_scalar/mlir_files_elementwise/elementwise_70_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.04,msec,task-clock,1.66%,2006625,100.0,0.524,CPUs utilized,2.04,elementwise_90_3,./results_scalar/mlir_files_elementwise/elementwise_90_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3647288.0,,cycles,1.57%,2006625,100.0,1.788,GHz,3647288.0,elementwise_90_3,./results_scalar/mlir_files_elementwise/elementwise_90_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1004282.0,,instructions,0.67%,2006625,100.0,0.28,insn per cycle,1004282.0,elementwise_90_3,./results_scalar/mlir_files_elementwise/elementwise_90_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
128017.0,,branches,0.42%,2006625,100.0,62.743,M/sec,128017.0,elementwise_90_3,./results_scalar/mlir_files_elementwise/elementwise_90_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13517.0,,branch-misses,1.09%,2006625,100.0,10.56,of all branches,13517.0,elementwise_90_3,./results_scalar/mlir_files_elementwise/elementwise_90_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.09,msec,task-clock,1.60%,2019417,100.0,0.536,CPUs utilized,2.09,elementwise_50_3,./results_scalar/mlir_files_elementwise/elementwise_50_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3746926.0,,cycles,1.57%,2019417,100.0,1.79,GHz,3746926.0,elementwise_50_3,./results_scalar/mlir_files_elementwise/elementwise_50_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1076322.0,,instructions,0.67%,2019417,100.0,0.29,insn per cycle,1076322.0,elementwise_50_3,./results_scalar/mlir_files_elementwise/elementwise_50_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
132922.0,,branches,0.51%,2019417,100.0,63.498,M/sec,132922.0,elementwise_50_3,./results_scalar/mlir_files_elementwise/elementwise_50_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13603.0,,branch-misses,1.25%,2019417,100.0,10.23,of all branches,13603.0,elementwise_50_3,./results_scalar/mlir_files_elementwise/elementwise_50_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.08,msec,task-clock,0.93%,2087625,100.0,0.535,CPUs utilized,2.08,elementwise_50_2,./results_scalar/mlir_files_elementwise/elementwise_50_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3728130.0,,cycles,0.92%,2087625,100.0,1.793,GHz,3728130.0,elementwise_50_2,./results_scalar/mlir_files_elementwise/elementwise_50_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1074743.0,,instructions,0.72%,2087625,100.0,0.29,insn per cycle,1074743.0,elementwise_50_2,./results_scalar/mlir_files_elementwise/elementwise_50_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
132722.0,,branches,0.56%,2087625,100.0,63.817,M/sec,132722.0,elementwise_50_2,./results_scalar/mlir_files_elementwise/elementwise_50_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13654.0,,branch-misses,1.06%,2087625,100.0,10.29,of all branches,13654.0,elementwise_50_2,./results_scalar/mlir_files_elementwise/elementwise_50_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.0,msec,task-clock,1.54%,2081375,100.0,0.521,CPUs utilized,2.0,elementwise_90_2,./results_scalar/mlir_files_elementwise/elementwise_90_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3584401.0,,cycles,1.53%,2081375,100.0,1.789,GHz,3584401.0,elementwise_90_2,./results_scalar/mlir_files_elementwise/elementwise_90_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
983633.0,,instructions,0.71%,2081375,100.0,0.27,insn per cycle,983633.0,elementwise_90_2,./results_scalar/mlir_files_elementwise/elementwise_90_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
125515.0,,branches,0.55%,2081375,100.0,62.656,M/sec,125515.0,elementwise_90_2,./results_scalar/mlir_files_elementwise/elementwise_90_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
