,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
94,,,,,7472212.0,,,mlir_sparsity_70_stride_1,70,1
95,,,,,,4259105.0,,mlir_sparsity_70_stride_1,70,1
96,,415899.0,,,,,,mlir_sparsity_70_stride_1,70,1
97,13463.0,,,,,,,mlir_sparsity_70_stride_1,70,1
98,,415763.0,,,,,,mlir_sparsity_70_stride_2,70,2
99,13384.0,,,,,,,mlir_sparsity_70_stride_2,70,2
100,,,,,,4258880.0,,mlir_sparsity_70_stride_2,70,2
101,,,,,7615965.0,,,mlir_sparsity_70_stride_2,70,2
102,,,,,,,83.0,mlir_sparsity_70_stride_2,70,2
103,,,,0.0,,,,mlir_sparsity_70_stride_2,70,2
104,,,0.0,,,,,mlir_sparsity_70_stride_2,70,2
105,,,0.0,,,,,mlir_sparsity_70_stride_3,70,3
106,,,,0.0,,,,mlir_sparsity_70_stride_3,70,3
107,,,,,,,83.0,mlir_sparsity_70_stride_3,70,3
108,,,,,7565611.0,,,mlir_sparsity_70_stride_3,70,3
109,,,,,,4254100.0,,mlir_sparsity_70_stride_3,70,3
110,,415177.0,,,,,,mlir_sparsity_70_stride_3,70,3
111,13294.0,,,,,,,mlir_sparsity_70_stride_3,70,3
112,,,,,,3690352.0,,mlir_sparsity_75_stride_1,75,1
113,,,,,6843071.0,,,mlir_sparsity_75_stride_1,75,1
114,13533.0,,,,,,,mlir_sparsity_75_stride_1,75,1
115,,,,0.0,,,,mlir_sparsity_75_stride_1,75,1
116,,,0.0,,,,,mlir_sparsity_75_stride_1,75,1
117,,,,,,,82.0,mlir_sparsity_75_stride_1,75,1
118,,363348.0,,,,,,mlir_sparsity_75_stride_1,75,1
119,,,0.0,,,,,mlir_sparsity_75_stride_2,75,2
120,,,,0.0,,,,mlir_sparsity_75_stride_2,75,2
121,,,,,,,82.0,mlir_sparsity_75_stride_2,75,2
122,,,,,7025515.0,,,mlir_sparsity_75_stride_2,75,2
123,,,,,,3694785.0,,mlir_sparsity_75_stride_2,75,2
124,,364101.0,,,,,,mlir_sparsity_75_stride_2,75,2
125,13362.0,,,,,,,mlir_sparsity_75_stride_2,75,2
126,13407.0,,,,,,,mlir_sparsity_75_stride_3,75,3
127,,,,,,,82.0,mlir_sparsity_75_stride_3,75,3
128,,,,0.0,,,,mlir_sparsity_75_stride_3,75,3
129,,,0.0,,,,,mlir_sparsity_75_stride_3,75,3
130,,364245.0,,,,,,mlir_sparsity_75_stride_3,75,3
131,,,,,6872268.0,,,mlir_sparsity_75_stride_3,75,3
132,,,,,,3696268.0,,mlir_sparsity_75_stride_3,75,3
133,,,,,,3116768.0,,mlir_sparsity_80_stride_1,80,1
134,,,,,6075904.0,,,mlir_sparsity_80_stride_1,80,1
135,,,,,,,81.0,mlir_sparsity_80_stride_1,80,1
136,,,,0.0,,,,mlir_sparsity_80_stride_1,80,1
137,,,0.0,,,,,mlir_sparsity_80_stride_1,80,1
138,13280.0,,,,,,,mlir_sparsity_80_stride_1,80,1
139,,310516.0,,,,,,mlir_sparsity_80_stride_1,80,1
140,,,0.0,,,,,mlir_sparsity_80_stride_2,80,2
141,13410.0,,,,,,,mlir_sparsity_80_stride_2,80,2
142,,313594.0,,,,,,mlir_sparsity_80_stride_2,80,2
143,,,,,,3142040.0,,mlir_sparsity_80_stride_2,80,2
144,,,,,6407268.0,,,mlir_sparsity_80_stride_2,80,2
145,,,,0.0,,,,mlir_sparsity_80_stride_2,80,2
146,,,,,,,83.0,mlir_sparsity_80_stride_2,80,2
147,13674.0,,,,,,,mlir_sparsity_80_stride_3,80,3
148,,313630.0,,,,,,mlir_sparsity_80_stride_3,80,3
149,,,,,,3144523.0,,mlir_sparsity_80_stride_3,80,3
150,,,,,6306183.0,,,mlir_sparsity_80_stride_3,80,3
151,,,,,,,83.0,mlir_sparsity_80_stride_3,80,3
152,,,,0.0,,,,mlir_sparsity_80_stride_3,80,3
153,,,0.0,,,,,mlir_sparsity_80_stride_3,80,3
154,,,0.0,,,,,mlir_sparsity_85_stride_1,85,1
155,,,,0.0,,,,mlir_sparsity_85_stride_1,85,1
156,,,,,,,82.0,mlir_sparsity_85_stride_1,85,1
157,,,,,5518656.0,,,mlir_sparsity_85_stride_1,85,1
158,13343.0,,,,,,,mlir_sparsity_85_stride_1,85,1
159,,,,,,2578142.0,,mlir_sparsity_85_stride_1,85,1
160,,261643.0,,,,,,mlir_sparsity_85_stride_1,85,1
161,13260.0,,,,,,,mlir_sparsity_85_stride_2,85,2
162,,260849.0,,,,,,mlir_sparsity_85_stride_2,85,2
163,,,,,,2569290.0,,mlir_sparsity_85_stride_2,85,2
164,,,,,5590424.0,,,mlir_sparsity_85_stride_2,85,2
165,,,,,,,82.0,mlir_sparsity_85_stride_2,85,2
166,,,,0.0,,,,mlir_sparsity_85_stride_2,85,2
167,,,0.0,,,,,mlir_sparsity_85_stride_2,85,2
168,,,0.0,,,,,mlir_sparsity_85_stride_3,85,3
169,,,,0.0,,,,mlir_sparsity_85_stride_3,85,3
170,,,,,,,82.0,mlir_sparsity_85_stride_3,85,3
171,,,,,5624416.0,,,mlir_sparsity_85_stride_3,85,3
172,,,,,,2572684.0,,mlir_sparsity_85_stride_3,85,3
173,13446.0,,,,,,,mlir_sparsity_85_stride_3,85,3
174,,261256.0,,,,,,mlir_sparsity_85_stride_3,85,3
175,,,,0.0,,,,mlir_sparsity_90_stride_1,90,1
176,,,,,,,82.0,mlir_sparsity_90_stride_1,90,1
177,,,,,4851537.0,,,mlir_sparsity_90_stride_1,90,1
178,,,,,,2014168.0,,mlir_sparsity_90_stride_1,90,1
179,,210192.0,,,,,,mlir_sparsity_90_stride_1,90,1
180,,,0.0,,,,,mlir_sparsity_90_stride_1,90,1
181,13361.0,,,,,,,mlir_sparsity_90_stride_1,90,1
182,,208682.0,,,,,,mlir_sparsity_90_stride_2,90,2
183,,,,,,2001486.0,,mlir_sparsity_90_stride_2,90,2
184,,,,,4829866.0,,,mlir_sparsity_90_stride_2,90,2
185,,,,,,,82.0,mlir_sparsity_90_stride_2,90,2
186,,,,0.0,,,,mlir_sparsity_90_stride_2,90,2
187,,,0.0,,,,,mlir_sparsity_90_stride_2,90,2
188,13331.0,,,,,,,mlir_sparsity_90_stride_2,90,2
189,,,,,4922842.0,,,mlir_sparsity_90_stride_3,90,3
190,,,,0.0,,,,mlir_sparsity_90_stride_3,90,3
191,,,,,,,82.0,mlir_sparsity_90_stride_3,90,3
192,,,0.0,,,,,mlir_sparsity_90_stride_3,90,3
193,,210040.0,,,,,,mlir_sparsity_90_stride_3,90,3
194,13297.0,,,,,,,mlir_sparsity_90_stride_3,90,3
195,,,,,,2015196.0,,mlir_sparsity_90_stride_3,90,3
196,,,,0.0,,,,mlir_sparsity_95_stride_1,95,1
197,,,,,4189452.0,,,mlir_sparsity_95_stride_1,95,1
198,,,0.0,,,,,mlir_sparsity_95_stride_1,95,1
199,,157160.0,,,,,,mlir_sparsity_95_stride_1,95,1
200,13325.0,,,,,,,mlir_sparsity_95_stride_1,95,1
201,,,,,,1441193.0,,mlir_sparsity_95_stride_1,95,1
202,,,,,,,81.0,mlir_sparsity_95_stride_1,95,1
203,,,0.0,,,,,mlir_sparsity_95_stride_2,95,2
204,,,,0.0,,,,mlir_sparsity_95_stride_2,95,2
205,,,,,,,82.0,mlir_sparsity_95_stride_2,95,2
206,,,,,4288394.0,,,mlir_sparsity_95_stride_2,95,2
207,,,,,,1452736.0,,mlir_sparsity_95_stride_2,95,2
208,,158614.0,,,,,,mlir_sparsity_95_stride_2,95,2
209,13549.0,,,,,,,mlir_sparsity_95_stride_2,95,2
210,,,0.0,,,,,mlir_sparsity_95_stride_3,95,3
211,,159456.0,,,,,,mlir_sparsity_95_stride_3,95,3
212,,,,,,1464181.0,,mlir_sparsity_95_stride_3,95,3
213,,,,,4352979.0,,,mlir_sparsity_95_stride_3,95,3
214,,,,,,,82.0,mlir_sparsity_95_stride_3,95,3
215,,,,0.0,,,,mlir_sparsity_95_stride_3,95,3
216,13497.0,,,,,,,mlir_sparsity_95_stride_3,95,3
217,,,,0.0,,,,mlir_sparsity_95_stride_4,95,4
218,,,,,,,82.0,mlir_sparsity_95_stride_4,95,4
219,,,,,4255483.0,,,mlir_sparsity_95_stride_4,95,4
220,,,,,,1455020.0,,mlir_sparsity_95_stride_4,95,4
221,,159081.0,,,,,,mlir_sparsity_95_stride_4,95,4
222,13485.0,,,,,,,mlir_sparsity_95_stride_4,95,4
223,,,0.0,,,,,mlir_sparsity_95_stride_4,95,4
