,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
95,,,0.0,,,,,mlir_sparsity_70_stride_3,70,3
96,13432.0,,,,,,,mlir_sparsity_70_stride_3,70,3
97,,,,,4427498.0,,,mlir_sparsity_70_stride_3,70,3
98,13360.0,,,,,,,mlir_sparsity_70_stride_5,70,5
99,,113688.0,,,,,,mlir_sparsity_70_stride_5,70,5
100,,,,,,955735.0,,mlir_sparsity_70_stride_5,70,5
101,,,,,3843775.0,,,mlir_sparsity_70_stride_5,70,5
102,,,,,,,82.0,mlir_sparsity_70_stride_5,70,5
103,,,,0.0,,,,mlir_sparsity_70_stride_5,70,5
104,,,0.0,,,,,mlir_sparsity_70_stride_5,70,5
105,,148339.0,,,,,,mlir_sparsity_75_stride_1,75,1
106,,,,,5052144.0,,,mlir_sparsity_75_stride_1,75,1
107,,,0.0,,,,,mlir_sparsity_75_stride_1,75,1
108,,,,0.0,,,,mlir_sparsity_75_stride_1,75,1
109,,,,,,1303825.0,,mlir_sparsity_75_stride_1,75,1
110,13571.0,,,,,,,mlir_sparsity_75_stride_1,75,1
111,,,,,,,82.0,mlir_sparsity_75_stride_1,75,1
112,,,0.0,,,,,mlir_sparsity_75_stride_3,75,3
113,,,,0.0,,,,mlir_sparsity_75_stride_3,75,3
114,,,,,,,82.0,mlir_sparsity_75_stride_3,75,3
115,,,,,4396901.0,,,mlir_sparsity_75_stride_3,75,3
116,13326.0,,,,,,,mlir_sparsity_75_stride_3,75,3
117,,125948.0,,,,,,mlir_sparsity_75_stride_3,75,3
118,,,,,,1079518.0,,mlir_sparsity_75_stride_3,75,3
119,13432.0,,,,,,,mlir_sparsity_75_stride_5,75,5
120,,113962.0,,,,,,mlir_sparsity_75_stride_5,75,5
121,,,,,,957474.0,,mlir_sparsity_75_stride_5,75,5
122,,,,,3804303.0,,,mlir_sparsity_75_stride_5,75,5
123,,,,,,,82.0,mlir_sparsity_75_stride_5,75,5
124,,,,0.0,,,,mlir_sparsity_75_stride_5,75,5
125,,,0.0,,,,,mlir_sparsity_75_stride_5,75,5
126,,,0.0,,,,,mlir_sparsity_80_stride_1,80,1
127,,,,0.0,,,,mlir_sparsity_80_stride_1,80,1
128,,,,,,,83.0,mlir_sparsity_80_stride_1,80,1
129,,,,,4798493.0,,,mlir_sparsity_80_stride_1,80,1
